code,country,school_age_population,urban,pre-primary,primary,secondary,National_bws,National_lws,National_nws,Urban_bws,Urban_lws,Urban_nws,Rural_bws,Rural_lws,Rural_nws,Pre-primary_bws,Pre-primary_lws,Pre-primary_nws,Primary_bws,Primary_lws,Primary_nws,Secondary_bws,Secondary_lws,Secondary_nws,National_bss,National_lss,National_nss,Urban_bss,Urban_lss,Urban_nss,Rural_bss,Rural_lss,Rural_nss,Pre-primary_bss,Pre-primary_lss,Pre-primary_nss,Primary_bss,Primary_lss,Primary_nss,Secondary_bss,Secondary_lss,Secondary_nss,National_bhs,National_lhs,National_nhs,Urban_bhs,Urban_lhs,Urban_nhs,Rural_bss,Rural_lss,Rural_nhs,Pre-primary_bhs,Pre-primary_lhs,Pre-primary_nhs,Primary_bhs,Primary_lhs,Primary_nhs,Secondary_bhs,Secondary_lhs,Secondary_nhs
ETH,Ethiopia,41526.60547,21.22500038,22.16046906,40.53834152,37.30119324,15.48697536,8.139877951,76.37314669,0,0,0,37.1134,12.88661,49.99999,0,0,0,14.868,5.607181034,79.52481897,22.0248,31.115131,46.860069,40.48694292,20.08382569,39.42923139,0,0,0,22.91667,53.645835,23.437495,0,0,0,38.53012048,20.97237952,40.4975,61.15555556,10.87392206,27.97052239,5.396133504,14.72820694,79.87565955,0,0,0,1.02041,2.04081,96.93878,0,0,0,5.2,13.8,81,7.5,24.5,68
FJI,Fiji,266.3320007,56.75022125,20.27732277,39.22585297,40.49682236,88.077,5.423,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1501774,13.9498226,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.89,27.14,11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,Finland,964.3140259,85.44602966,24.74577713,38.51608658,36.73813629,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
FRA,France,12496.24414,80.70899963,19.92142677,33.9753685,46.10321426,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
GMB,Gambia,954.9959717,61.93104553,29.48598671,38.59283066,31.92118073,0,0,22.9870923,0,0,0,0,0,0,0,0,31.33333333,0,0,14.95972222,0,0,11.31809949,62.93538935,37.06461065,<1,0,0,0,0,0,0,37.86486486,0,0,82.7027027,17.2972973,<1,79.64384649,20.35615351,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO,Georgia,745.4050293,59.03904724,21.52628517,42.76560974,35.70810318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1
DEU,Germany,12017.65918,77.37599945,16.61094666,24.32587814,59.0631752,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
GHA,Ghana,10305.03809,56.70700073,15.03943062,42.11308289,42.8474884,70.74667953,<1,29.25332047,84.60694,10.40014,4.99292,73.26793,11.09794,15.63413,79.09658,5.693589478,15.20983052,76.38602,7.615140979,15.99883902,79.12117,14.47070695,6.408123045,63.63391545,13.82022105,22.54586351,71.65866276,20.39870724,7.94263,57.34184923,20.13431077,22.52384,64.01258257,16.48887621,19.49854122,62.23448424,12.31064451,25.45487125,64.84922224,19.47520776,15.67557,53.55722143,8.146839366,38.2959392,65.14888847,6.177711255,28.67340027,44.704045,9.56869672,45.72725828,55.68444962,7.490938137,36.82461224,51.56096457,8.800111794,39.63892363,52.32210218,8.464024752,39.21387306
GIB,Gibraltar,4.96999979,100,8.732394218,53.94366074,37.32394409,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
GRD,Grenada,23.58399963,36.3975563,14.51407719,53.14196014,32.34396362,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,98.6,1.4,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
GTM,Guatemala,5468.058105,51.43899536,21.79777527,42.47014236,35.73208237,0,0,18.94582104,0,0,<1,0,0,26.65773563,0,0,0,0,0,18.94582104,0,0,0,76.203968,0,0,0,0,1.298496241,0,0,0,0,0,0,76.203968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,Guinea,5242.147949,36.5,21.40769386,39.1516037,39.44070435,9.498714921,23.96284823,66.53843685,0,0,43.81486905,0,0,79.94733843,0,0,14.8148577,9.498714921,25.31277262,65.18851246,0,0,0,0,0,18.05909351,0,0,7.477094424,0,0,32.42352959,0,0,22.02686015,0,0,21.99558836,0,0,5.649146438,0,0,67.61363845,0,0,0,0,0,0,0,0,0,0,0,67.61363845,0,0,0
GNB,Guinea-Bissau,729.9769897,43.77699661,23.20278549,41.96104813,34.83616638,58.7,6.4897,34.8103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,20.37338,47.22662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,12.9,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTI,Haiti,3843.266113,56.19199753,19.64342308,38.22360992,42.1329689,0,0,42.42043145,0,0,0,0,0,0,0,0,0,0,0,51.57026649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,Honduras,2852.871094,57.73001862,21.26885605,42.31211472,36.41903305,68.24607591,10.17626485,21.57765925,0,0,0,74.19355,6.085945891,19.72050411,0,0,0,64.63,0,0,51.54,0,0,82.13484988,0,0,0,0,0,23,66,11,0,0,0,0,0,0,0,0,0,12.48655573,0,0,0,0,0,19,29,52,0,0,0,5.42051,0,0,20.82262,0,0
HUN,Hungary,1518.706055,71.64395142,23.65480804,25.12876129,51.21643066,>99,<1,<1,0,0,0,0,0,0,0,0,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
IND,India,376154.8125,34.47200012,19.86567497,32.96421432,47.1701088,67.42072409,26.57629725,6.002978661,72.43015922,20.82686884,6.742971937,66.81909058,25.10145654,8.07945288,0,0,0,66.85601192,25.36419217,7.77979591,75.49179327,18.2603072,6.247899529,64.48888547,19.01140121,16.49971332,70.83487025,15.0028477,14.16228205,62.98586939,18.75275551,18.2613751,0,0,0,63.98758572,19.46525168,16.54716259,72.7532466,9.224480314,18.02227308,52.891226,22.552532,24.556242,57.5757445,26.127099,16.2971565,52.3286205,22.1547855,25.516594,0,0,0,53.0909458,21.86192166,25.04713254,53.30996112,29.22755007,17.4624888
IDN,Indonesia,65269.12109,55.98500061,14.58655357,42.50062943,42.91281891,72.73317334,10.65610991,16.61071675,0,0,<1,0,0,<1,70.46668215,2.079670968,27.45364689,72.02755094,10.90950569,17.06294336,74.94952528,11.16367278,13.88680194,40.39568181,46.48162422,13.12269397,0,0,0,0,0,0,27.96776012,52.63856181,19.39367807,37.31742545,49.66745262,13.01512192,49.71193994,34.49137779,15.79668227,58.85557185,9.881129624,31.26329853,0,0,0,0,0,0,57.48781054,4.640286577,37.87190288,59.42362621,10.70856932,29.86780447,57.32329639,10.09860753,32.57809607
IRQ,Iraq,12793.55078,70.6780014,15.9276886,44.6692543,39.4030571,0,0,15.80304364,0,0,0,0,0,0,0,0,1.694915254,0,0,19.28,0,0,8.637963715,0,0,14.44786819,0,0,0,0,0,0,0,0,1.624293785,0,0,17.86666667,0,0,7.148659626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,Israel,2216.560059,92.50099182,22.2691021,41.31108475,36.41981125,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
ITA,Italy,9085.118164,70.73600006,18.62104607,30.90431976,50.47463226,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
JAM,Jamaica,638.0789795,55.98507309,19.83437729,42.87149429,37.29412842,94.86407476,0,0,0,0,0,0,0,0,0,0,0,93.92449,0,0,95.88537676,0,0,94.86407476,0,0,0,0,0,0,0,0,0,0,0,93.92449,0,0,95.88537676,0,0,96.54814093,0,0,0,0,0,0,0,0,0,0,0,95.91147667,0,0,97.25691784,0,0
JOR,Jordan,3169.951904,91.20301819,15.46070766,44.24234009,40.29695129,92.69682152,6.977180114,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.40853629,66.19754901,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,Kenya,20279.63281,27.50700378,22.08070564,40.90348434,37.01580811,0,0,0,0,0,0,71.73913,3.26087,25,0,0,0,0,0,0,0,0,0,0,0,<1,0,0,<1,50,45.65218,4.34782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17391,13.04348,84.78261,0,0,0,0,0,0,0,0,0
KIR,Kiribati,41.18600082,54.83416748,21.46117592,41.32229233,37.21652985,0,0,25.85630601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KWT,Kuwait,779.8060303,100,15.81136894,40.26334763,43.92528534,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
KGZ,Kyrgyzstan,1775.650024,36.59099579,29.94914627,29.27237892,40.77847672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
LAO,Lao People's Democratic Republic,2238.533936,35.64502335,20.34161568,34.41113663,45.24724579,0,0,32.675,0,0,17.9743746,0,0,42.70602652,0,0,0,0,0,32.675,0,0,0,16.0188,61.857562,22.123638,22.64712475,60.8739958,16.47887945,11.49490074,62.52861906,25.97648021,0,0,0,16.0188,61.857562,22.123638,0,0,0,35.21,0,0,36.5,0,0,26.26,0,0,0,0,0,35.21,0,0,0,0,0
LVA,Latvia,251.9080048,68.22212982,32.65358734,47.03622055,20.31019211,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
LBN,Lebanon,1677.987061,88.75801849,18.74174309,38.89070511,42.36749268,59.4,<1,39.85,0,0,0,0,0,0,57.2,2.75,40.05,59.7,3.1,37.2,60.6,2.6,36.8,92.6,6.6,<1,0,0,0,0,0,0,91.6,7.4,1,92,7.2,<1,95.2,3.5,1.3,36.2,59.6,4.2,0,0,0,0,0,0,34,62,4,33.6,61.8,4.6,45.9,51.1,3
LSO,Lesotho,656.6959839,28.58506775,20.49593735,46.31397247,33.19009018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,Liberia,1881.473022,51.61498642,23.06793594,41.08047104,35.8515892,50.06698036,1.9369123,47.99610734,59.3577,3.21151,37.43079,35.67405,4.7315,59.59445,0,0,0,44.18011,13.41989,42.4,64.81037,10.72837333,24.46125667,26.78905061,40.24931057,32.96163882,34.60944,45.45701,19.93355,21.5262,22.15109,56.32271,0,0,0,23.78593694,36.88791306,39.32615,34.65901599,48.41206401,16.92892,69.08083,16.3004,14.61877,76.69346,12.82051,10.48603,61.48855,19.77099,18.74046,0,0,0,66.72823,16.67546,16.59631,75.25988,15.31531,9.42481
LBY,Libya,1709.463989,80.39297485,15.32263947,44.82908249,39.84827805,17,67,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1,38.9,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDG,Madagascar,10035.74219,37.86099625,22.40236855,34.55164719,43.04598618,0,0,62.94054917,0,0,0,0,0,0,0,0,0,0,0,63.2,0,0,74.1,61.6,10.38631701,28.01368299,79.7,0,0,59.5,0,0,0,0,0,61.6,2.8,35.6,52.15,26.75,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWI,Malawi,7709.413086,17.17400551,22.56016159,41.63526917,35.80456924,77.72591,14.59084354,7.683246463,0,0,2.755357143,68.18182,24.11222762,7.705952381,0,0,0,87.27,4.241111111,8.488888889,81.7,13.18611111,5.113888889,65.13990043,18.54217171,16.31792786,73.51428571,4.146428571,22.33928571,62.22415726,21.60791488,16.16792786,0,0,0,75.08823529,6.35105042,18.56071429,56.3,8.489285714,35.21071429,20.69959,2.82982,76.47059,0,0,54.91071429,12.94118,10.58823,76.47059,0,0,0,28.458,12.54788235,58.99411765,0,0,62.69705882
MYS,Malaysia,7388.986816,76.60700989,12.95177555,40.88444138,46.16378403,98.05297395,1.947026047,<1,0,0,0,0,0,0,0,0,0,97.13520667,2.864793333,<1,98.90086585,1.099134147,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,97.61723412,2.382765875,<1,0,0,0,0,0,0,0,0,0,97.13520667,2.864793333,<1,98.0622273,1.937772696,<1
MDV,Maldives,99.19100189,40.23752213,22.83271599,50.77174377,26.39554024,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,Mali,8400.441406,43.13599777,28.11944008,40.23742294,31.64313698,70.07705479,23.60794521,6.315,86.5248227,10.2801773,3.195,59.79179999,13.98407501,26.224125,0,0,0,70.07705479,27.85609037,2.066854839,0,0,0,29.77569431,51.12430569,19.1,25,65.8,9.2,41.617645,39.358825,19.02353,0,0,0,30.29230769,50.60769231,19.1,20.1,0,0,63.3,17.69315068,19.00684932,73.75886525,14.18439716,12.05673759,37.53193372,14.25224548,48.2158208,0,0,0,63.3,17.69315068,19.00684932,0,0,0
MHL,Marshall Islands,21.46500015,77.41439819,15.64407158,42.36198425,41.99394226,3.19,0,0,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,0,0,0,36.17,0,0,0,0,0,0,0,0,0,0,0,36.17,0,0,0,0,0
MRT,Mauritania,1708.463013,54.50700378,21.9106884,39.4916954,38.5976181,0,0,79.06375981,0,0,0,0,0,0,0,0,0,0,0,81.9,0,0,58.075,21.28316247,18.28357846,60.43325907,0,0,0,0,0,0,0,0,0,19.876435,20.273565,59.85,32.26892175,1.831078253,65.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS,Mauritius,237.5950012,40.76601028,10.84997559,36.25623322,52.8937912,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,85.78921843,0,0,0,0,0,0,0,0,0,0,0,88.67925,0,0,83.79888,0,0
MEX,Mexico,33554.87891,80.44400024,19.92574883,39.90294266,40.17130661,0,0,15.4633049,0,0,2.659030184,0,0,22.54146464,60.9,29.21,9.89,0,0,16.64672631,49.04,36.64170079,14.31829921,74.19124028,19.55946009,6.249299627,0,0,2.021489138,0,0,0,0,0,5.96,73.90461357,19.91072582,6.184660607,79.73403833,15.67744198,4.588519685,0,0,16.86583562,0,0,0,0,0,0,0,0,0,0,0,0,82.345,0,0
MCO,Monaco,9.536999702,100,18.73754883,38.89063644,42.37181473,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
MNG,Mongolia,871.9719849,68.54302979,26.80246544,36.26458359,36.93295288,74.4,23.85,1.75,84.8,14.8,<1,72.9,24.7,2.4,0,0,0,72.7,23.8,3.5,73.4,25.35,1.25,63.242256,21.107744,15.65,70.2326,29.7674,<1,57.686151,17.963849,24.35,0,0,0,70.1512175,15.5987825,14.25,63.4749798,21.4750202,15.05,41.4,35.9,22.7,52.7,34.3,13,35.2,40.7,24.1,0,0,0,43.6,36.4,20,65.735,10.065,24.2
MSR,Montserrat,0.875999987,9.13242054,15.06849289,47.3744278,37.55707932,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
MAR,Morocco,8753.176758,62.99400711,14.77737713,44.12129593,41.1013298,83.57403887,3.49052945,12.93543168,0,0,0,0,0,0,0,0,0,73.99081667,9.659183333,16.35,90.6,<1,9.4,69.939845,25.19479669,4.86535831,81.51,0,0,56.1015,0,0,0,0,0,69.939845,21.08280731,8.977347692,0,0,<1,88.98436712,0,0,0,0,0,0,0,0,0,0,0,80.912375,0,0,97.50601652,0,0
MOZ,Mozambique,12516.7832,36.52800369,23.13445091,47.64728928,29.2182579,0,0,0,0,0,0,48.08900044,<1,51.91099956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.62794308,41.24200343,33.13005349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.835648787,<1,93.87755,0,0,0,0,0,0,0,0,0
MMR,Myanmar,12550.1543,30.8520031,14.90631104,36.98735428,48.10633469,75.36404287,0,0,0,0,0,0,0,0,0,0,0,71.87072333,0,0,81.67820211,0,0,68.4215338,0,0,0,0,0,0,0,0,0,0,0,65.35,0,0,70.8,0,0,58.70326983,0,0,0,0,0,0,0,0,0,0,0,53.976355,0,0,62.36478103,0,0
NRU,Nauru,3.568000078,100,22.39349747,42.74103165,34.86547089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.472,0,0,86.5,0,0,0,0,0,0,0,0,>99,<1,<1,66.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPL,Nepal,7996.061035,20.15299797,11.04430008,34.92924881,54.02645111,46.94453783,30.55546217,22.5,0,0,0,0,0,0,0,0,0,39.01146,0,0,76.48106388,0,0,0,0,17.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLD,Netherlands,2889.560059,91.87599182,20.01263237,38.1697197,41.81761169,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
NIC,Nicaragua,1750.506958,58.76000595,19.82208633,44.78902435,35.38883209,53.97572455,18.36668714,27.65758831,0,0,0,53.68182961,21.70127176,24.61689863,0,0,0,0,0,31.54270461,0,0,0,12.29588106,59.05166394,28.652455,0,0,0,12.27788746,57.27650754,30.445605,0,0,0,0,0,0,0,0,0,40.12978142,0,0,0,0,0,40.15966678,0,0,0,0,0,0,0,0,0,0,0
NER,Niger,9894.884766,16.51699829,23.63311005,40.57909775,35.78779221,16.131925,2.898049464,80.97002554,0,0,60.37007289,20.33898,18.27679986,61.38422014,0,0,74.13598703,16.131925,1.634280616,82.23379438,0,0,44.98397175,25.39052333,9.946892849,64.66258382,28.3,23.36463096,48.33536904,23.411865,5.745021101,70.8431139,0,0,78.44331353,23.0489207,<1,76.9510793,0,0,43.79140611,14.5384,0,0,0,0,0,4.23729,3.38983,92.37288,0,0,0,14.5384,0,0,0,0,0
NGA,Nigeria,65744.97656,51.15700531,9.165690422,49.81684875,41.01745605,36.43979,26.89574816,36.66446184,40.99526,33.051214,25.953526,32.83302,18.849248,48.317732,0,0,0,32.05479,27.422012,40.523198,53.33333,18.20514,28.46153,37.77915,22.54690342,39.67394658,49.356586,27.199136,23.444278,27.92954,20.681146,51.389314,0,0,0,34.527748,25.583804,39.888448,45.64103,16.92307,37.4359,27.64398,10.68063,61.67539,42.65403,11.13744,46.20853,15.75985,10.31895,73.9212,0,0,0,27.80822,10.13699,62.05479,24.10256,12.82051,63.07693
NIU,Niue,0.367000014,45.50408554,7.084468842,43.59672928,49.31880188,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
